productId,title,description,mrp,categories,sellerName
SPWDZY6HTU28JTKH,Dermawear Women's Shapewear,Its extra firm compression at lower abdomen helps flatten the abdomen. It also provides support to weak abdomen muscles by improved toning and strengthening.Note: Please select the size according to your west size as it is shapewear do not selct less size than your west size.,530,Apparels>Women>Lingerie & Sleepwear>Shapewears,Rezon Lopes
SPWDZY6H29U9PATR,Dermawear Women's Shapewear,It has an extra firm compression which helps flatten abdomen bulge and provides support to weak abdomen muscles. It also improves toning and strengthening.,500,Apparels>Women>Lingerie & Sleepwear>Shapewears,Rezon Lopes
SPWDZY6HRJJ76JDG,Dermawear Women's Shapewear,Its extra firm compression at lower abdomen helps flatten the abdomen. It also provides support to weak abdomen muscles by improved toning and strengthening.,530,Apparels>Women>Lingerie & Sleepwear>Shapewears,Rezon Lopes
SPWDZY6HT9WRYU4X,Dermawear Women's Shapewear,Its extra firm compression at lower abdomen helps flatten the abdomen. It also provides support to weak abdomen muscles by improved toning and strengthening.,530,Apparels>Women>Lingerie & Sleepwear>Shapewears,Rezon Lopes
SPWDZY6HUH9ZNV3D,Dermawear Women's Shapewear,It has an extra firm compression which helps flatten abdomen bulge and provides support to weak abdomen muscles. It also improves toning and strengthening.,500,Apparels>Women>Lingerie & Sleepwear>Shapewears,Rezon Lopes
SPWE62Q3VHWGZYD8,Glus Tummy Flatterner with Butt Control Women's Shapewear,Perfect Tummy tucker & Butt Control Shape wear . Cool Spandex Fabric . Invisible soft sticks protect roll down . Easy to wear & remove . Durable Fabric . No Rash,850,Apparels>Women>Lingerie & Sleepwear>Shapewears,Gurpinder Singh
SPWE75GFTWGDH4CA,Deep Under SW6374 Women's Shapewear,"Deep Under High waist brief type shapewear provides extra firm compression at lower abdomen, helps flatten the abdomen and improves toning and strengthening. This High waist brief type shapewear comes with waistband & Internal boning for support on the front and back.",760,Apparels>Women>Lingerie & Sleepwear>Shapewears,Deepinder Singh
SPWE7Y2YMXTFQPYU,Laceandme Power Women's Shapewear,"His All-Hosiery Shaping Brief Whittles Your Waist, Tones Your Tummy And Lifts Your Rear, So You Can Look Smashing In Your Skinny Clothes Wear In Place Of Underwear To Eliminate Panty Lines. Extends From Just Below Your Bra To Just Below Your Rear. Soft Waistband Sits Beneath Your Bra Line To Eliminate Bulges At Natural Waistline. Ultra-Thin Leg Bands Stay In Place And Alleviate Bulges. Seamless Sides For A Smooth Look Under Clothes. Brief Panties Provide Full Rear Coverage. Sewn-In Cotton Crotch, So You Can Wear This Hosiery Shapewear As Your Underwear, Eliminating Panty Lines. Makes A Hip Addition To Shorts And Minis, But Is Just As Great Under Pants",1050,Apparels>Women>Lingerie & Sleepwear>Shapewears,Veena Soni
SPWE7EG9YCUK3JJD,Laceandme Ebody Comfort Tummy Tucker Thigh Control Undergarment Women's Shapewear,"Firm Control Tummy & Mid-Thigh Shaping Panty. Great Tummy Compression & Design Lifts Rear. Smooth Look, No Visible Panty Lines. New Sleek Yarns Won'T Cling To Clothes. Stretch Microfiber .",1025,Apparels>Women>Lingerie & Sleepwear>Shapewears,Veena Soni
SPWE7GXXQTZXBJYT,Laceandme No Rolling Wire control Women's Shapewear,"With wire control feature so that it does not rolls down while you are wearing it. New Innovative product to give you shape while you wear the dresses of your choices. Firm control, high-waist mid-thigh shaper.Flattens tummy smoothes the rear.Instantly reduces your dress size.Stretch microfiber",1450,Apparels>Women>Lingerie & Sleepwear>Shapewears,Veena Soni
SPWDZZTXKGGG7PUA,Dermawear Women's Shapewear,"Its extra Firm compression at abdomen, in shorts style, provides added advantage of mild compression at hips and thighs.Advantage of bottom opening for convenience.",630,Apparels>Women>Lingerie & Sleepwear>Shapewears,Rezon Lopes
SPWE94UJUSKGTT8Z,Laceandme Metal Grip Women's Shapewear,"Metal Wire Hidden Which Stops Shaper To Roll It Down While Wearing It.Compression At Abdomen, Provides Added Advantage Of Mild Compression At Hips And Thighs. Look 1-3 Inches Thinner Immidiately.",1250,Apparels>Women>Lingerie & Sleepwear>Shapewears,Veena Soni
SPWE94UJXBH7HHZW,Laceandme Metal Grip Women's Shapewear,"Metal Wire Hidden Which Stops Shaper To Roll It Down While Wearing It.Compression At Abdomen, Provides Added Advantage Of Mild Compression At Hips And Thighs. Look 1-3 Inches Thinner Immidiately.",1250,Apparels>Women>Lingerie & Sleepwear>Shapewears,Veena Soni
SPWEFCTSEDNMHVQZ,Dermawear Women's Shapewear,"Its extra firm compression helps flatten abdomen bulge & provides support to weak abdomen muscles. With advantage of adjustable hooks, oversized breast/bust line can be brought to shape by adjusting hooks on the tighter side.Note: Please select the size according to your west size as it is shapewear do not selct less size than your west size.",900,Apparels>Women>Lingerie & Sleepwear>Shapewears,Rezon Lopes
SPWE94UJHXHHEA3F,Laceandme Metal Grip Women's Shapewear,"Metal Wire Hidden Which Stops Shaper To Roll It Down While Wearing It.Compression At Abdomen, Provides Added Advantage Of Mild Compression At Hips And Thighs. Look 1-3 Inches Thinner Immidiately.",1250,Apparels>Women>Lingerie & Sleepwear>Shapewears,Veena Soni
SPWEFCTSPNEMGHKE,Dermawear Women's Shapewear,"Its extra firm compression at abdomen, with advantage of firm compression at hips provides better body shape. Advantage of side zipper provides convenience for wearing",1450,Apparels>Women>Lingerie & Sleepwear>Shapewears,Rezon Lopes
SPWEFCTSYSPQ3QXG,Dermawear Women's Shapewear,"Its extra firm compression at abdomen, with advantage of firm compression at hips provides better body shape. Advantage of side zipper provides convenience for wearingNote: Please select the size according to your west size as it is shapewear do not selct less size than your west size.",1450,Apparels>Women>Lingerie & Sleepwear>Shapewears,Rezon Lopes
SPWE94HWCDJGPWNT,Laceandme Metal Grip Women's Shapewear,"Metal Wire Hidden Which Stops Shaper To Roll It Down While Wearing It.Compression At Abdomen, Provides Added Advantage Of Mild Compression At Hips And Thighs. Look 1-3 Inches Thinner Immidiately.",1275,Apparels>Women>Lingerie & Sleepwear>Shapewears,Veena Soni
SPWE94HWHB8TYHDW,Laceandme Metal Grip Women's Shapewear,"Metal Wire Hidden Which Stops Shaper To Roll It Down While Wearing It.Compression At Abdomen, Provides Added Advantage Of Mild Compression At Hips And Thighs. Look 1-3 Inches Thinner Immidiately.",1275,Apparels>Women>Lingerie & Sleepwear>Shapewears,Veena Soni
SPWE94UJFY39M8WG,Laceandme Metal Grip Women's Shapewear,"Metal Wire Hidden Which Stops Shaper To Roll It Down While Wearing It.Compression At Abdomen, Provides Added Advantage Of Mild Compression At Hips And Thighs. Look 1-3 Inches Thinner Immidiately.",1250,Apparels>Women>Lingerie & Sleepwear>Shapewears,Veena Soni
SPWE72HNEYBEQGY2,Laceandme Power Brief Tummy Tucker Women's Shapewear,"His All-Hosiery Shaping Brief Whittles Your Waist, Tones Your Tummy And Lifts Your Rear, So You Can Look Smashing In Your Skinny Clothes Wear In Place Of Underwear To Eliminate Panty Lines. Extends From Just Below Your Bra To Just Below Your Rear. Soft Waistband Sits Beneath Your Bra Line To Eliminate Bulges At Natural Waistline. Ultra-Thin Leg Bands Stay In Place And Alleviate Bulges. Seamless Sides For A Smooth Look Under Clothes. Brief Panties Provide Full Rear Coverage. Sewn-In Cotton Crotch, So You Can Wear This Hosiery Shapewear As Your Underwear, Eliminating Panty Lines. Makes A Hip Addition To Shorts And Minis, But Is Just As Great Under Pants",1050,Apparels>Women>Lingerie & Sleepwear>Shapewears,Veena Soni
SPWDZY6HGZHPKKZD,Dermawear Women's Shapewear,It has an extra firm compression which helps flatten abdomen bulge and provides support to weak abdomen muscles. It also improves toning and strengthening.Note: Please select the size according to your west size as it is shapewear do not selct less size than your west size.,500,Apparels>Women>Lingerie & Sleepwear>Shapewears,Rezon Lopes
SPWE7EG94TYJZPPK,Laceandme Ebody Comfort Tummy Tucker Thigh Control Undergarment Women's Shapewear,"Firm Control Tummy & Mid-Thigh Shaping Panty. Great Tummy Compression & Design Lifts Rear. Smooth Look, No Visible Panty Lines. New Sleek Yarns Won'T Cling To Clothes. Stretch Microfiber .",1025,Apparels>Women>Lingerie & Sleepwear>Shapewears,Veena Soni
SPWE7T5EF93UGMZZ,Smilzo Saree Panty Slp/2808 Women's Shapewear,"The wide and comfortable of Fashion Shapewears from SMILZO® not just hide that extra flab but also give your body a curvaceous and attractive shape SMILZO® body shapers are unparalled in softness, sheen and quality.So, the most comfortable and easiest way to stay in shape is to stay in a SMILZO® Body Shaper.",799,Apparels>Women>Lingerie & Sleepwear>Shapewears,SHAPING SYSTEMS INDIA PVT LTD
SPWE7T5EDBATSZQY,Smilzo Hig Waist Panty Shp/7252 Women's Shapewear,"The wide and comfortable of Fashion Shapewears from SMILZO® not just hide that extra flab but also give your body a curvaceous and attractive shape SMILZO® body shapers are unparalled in softness, sheen and quality.So, the most comfortable and easiest way to stay in shape is to stay in a SMILZO® Body Shaper.",1299,Apparels>Women>Lingerie & Sleepwear>Shapewears,SHAPING SYSTEMS INDIA PVT LTD
SPWE73KFCPDWGZ2P,PrettySecrets Eskimo Women's Shapewear,"PrettySecrets presents to you a shapewear that can be worn all day long. With its unmatched light weight and breathable fabric properties this shape wear gives you that perfect figure to reveal and go with any of your bodycons!•One piece bodice to shape the abdomen and upper body•Lightweight, ideal for wearing all day long•Breathable and stretchable fabric•Broad straps on the shoulders that do not dig into the skin•Deep Scoop back•Scalloped lace trim at the hem•Nylon SpandexModel Bust-34C and Waist-25 inches, is wearing size S",1399,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KFFG3SGRBB,PrettySecrets Eskimo Women's Shapewear,"This light weight seamless brief from PrettySecrets is absolutely addictive! It provides extra firm compression: helps flatten the lower abdomen and improves toning and strengthening. Sexy and seamless, this brief is good to wear all day long with any of your outfits!•Seamless, invisible under fitted clothes•Breathable fabric•High rise waist•Full back cover and shaping•Nylon SpandexModel Bust-34C and Waist-25 inches, is wearing size S",699,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE2W92CGMJ2K5W,PrettySecrets Women's Shapewear,Slim down in sophisticated style: this waist belt from PRETTYSECRETS features pretty lace trims at the centre with a zipper fastening. Also it has an internal boning support for flattering and slimming your waist.? Lace trims at the centre Front zipper Internal boning support Slims waist Imported nylon/spandex?,1199,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KF37H4CRUG,PrettySecrets Eskimo Women's Shapewear,"Shape up and look fabulous instantly with this nude, slimming shaping up brief from PrettySecrets. High waisted for ultimate tummy control. It will smoothen, flatten and sculpt problem areas.•High waist•Sheer stretchable lace on the front and back•Slims hips and waist•Comfortable and stretchable•Nylon spandexModel Bust-34C and Waist-25 inches, is wearing size S",799,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE47VAHSZAMEHJ,PrettySecrets Pink Invisi High Waist Shaping Women's Shapewear,"The shaping power of this light weight brief is absolutely addictive. Sleek compression fabric used in this shaper secretly tones and flattens the tummy always. Specially designed for a flawless, no-lines look that always stays perfectly in place.",649,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KF5DDDT3FV,PrettySecrets Eskimo Women's Shapewear,"Shape up and look fabulous instantly with this black, slimming shaping up brief from PrettySecrets. High waisted for ultimate tummy control. It will smoothen, flatten and sculpt problem areas.•High waist•Sheer stretchable lace on the front and back•Slims hips and waist•Comfortable and stretchable•Nylon spandexModel Bust-34C and Waist-25 inches, is wearing size S",799,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KFQM4E7XUD,PrettySecrets Eskimo Women's Shapewear,"This comfortable, stretchable hip & thigh shaper from PrettySecrets features a high waist cut and mid thigh length along with a fuchsia lace detailing at the hem. It flattens and sculpts waist, thigh and hips and makes you look slimmer in seconds.•High waist•Pretty Floral Lace on the crotch and leg hem•Mid thigh length•Slims waist, thigh, hips•Stretchable fabric•All day comfort•Imported nylon/spandexModel Bust-34C and Waist-25 inches, is wearing size S",1199,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KFEDAWAMVP,PrettySecrets Eskimo Women's Shapewear,"This light weight seamless brief from PrettySecrets is absolutely addictive! It provides extra firm compression: helps flatten the lower abdomen and improves toning and strengthening. Sexy and seamless, this brief is good to wear all day long with any of your outfits!•Seamless, invisible under fitted clothes•Breathable fabric•High rise waist•Full back cover and shaping•Nylon SpandexModel Bust-34C and Waist-25 inches, is wearing size S",699,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWEYB45GBBFCWWT,PrettySecrets Women's Shapewear,"""Shape up and look fabulous instantly with this animal print, slimming shaping up brief from Prettyecrets. High waisted for ultimate tummy control. It will smoothen, flatten and sculpts problem areas.Animal Print ,High waisted,Sheer mesh on the front and back, Contrast soft nude mesh lining on the inside, Black piping on the legs, Slims hips and waist, Comfortable and stretchable, Imported Nylon spandex""",799,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWEYB45KY5PHZ75,PrettySecrets Women's Shapewear,"""Shape up and look fabulous instantly with this animal print, slimming shaping up brief from Prettyecrets. High waisted for ultimate tummy control. It will smoothen, flatten and sculpts problem areas.Animal Print ,High waisted,Sheer mesh on the front and back, Contrast soft nude mesh lining on the inside, Black piping on the legs, Slims hips and waist, Comfortable and stretchable, Imported Nylon spandex""",799,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KFATJ5HHFY,PrettySecrets Eskimo Women's Shapewear,"Shape up and look fabulous instantly with this black, slimming shaping up brief from PrettySecrets. High waisted for ultimate tummy control. It will smoothen, flatten and sculpt problem areas.•High waist•Sheer stretchable lace on the front and back•Slims hips and waist•Comfortable and stretchable•Nylon spandexModel Bust-34C and Waist-25 inches, is wearing size S",799,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KFFMNZN579,PrettySecrets Eskimo Women's Shapewear,"PrettySecrets presents to you a shapewear that can be worn all day long. With its unmatched light weight and breathable fabric properties this shape wear gives you that perfect figure to reveal and go with any of your bodycons!•One piece bodice to shape the abdomen and upper body•Lightweight, ideal for wearing all day long•Breathable and stretchable fabric•Broad straps on the shoulders that do not dig into the skin•Deep Scoop back•Scalloped lace trim at the hem•Nylon SpandexModel Bust-34C and Waist-25 inches, is wearing size S",1399,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KFXPR9GEHS,PrettySecrets Eskimo Women's Shapewear,"Shape up and look fabulous instantly with this nude, slimming shaping up brief from PrettySecrets. High waisted for ultimate tummy control. It will smoothen, flatten and sculpt problem areas.•High waist•Sheer stretchable lace on the front and back•Slims hips and waist•Comfortable and stretchable•Nylon spandexModel Bust-34C and Waist-25 inches, is wearing size S",799,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KFBGD3ERMM,PrettySecrets Eskimo Women's Shapewear,"PrettySecrets presents to you a shapewear that can be worn all day long. With its unmatched light weight and breathable fabric properties this shape wear gives you that perfect figure to reveal and go with any of your bodycons!•One piece bodice to shape the abdomen and upper body•Lightweight, ideal for wearing all day long•Breathable and stretchable fabric•Broad straps on the shoulders that do not dig into the skin•Deep Scoop back•Scalloped lace trim at the hem•Nylon SpandexModel Bust-34C and Waist-25 inches, is wearing size S",1399,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWEYB45ZNNEPKHG,PrettySecrets Women's Shapewear,"Shape up and look fabulous instantly with this hot pink slimming shaping up brief from PrettySecrets. High waisted for ultimate tummy control. It will smoothen, flatten and sculpts problem areas.Hot Pink ,High waisted, Internal boning for support, Pretty Floral Mesh on the front and back, Contrast soft black mesh lining on the inside, Slims hips and waist, Comfortable and stretchable, Imported Nylon spandex",899,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWEYB45FGJUYZHT,PrettySecrets Women's Shapewear,"""Shape up and look fabulous instantly with this black, slimming shaping up brief from PrettySecrets. High waisted for ultimate tummy control. It will smoothen, flatten and sculpts problem areas.High waisted, Sheer mesh on the front and back, Slims hips and waist, Comfortable and stretchable, Imported Nylon spandex""",799,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KFHQGNXP8Z,PrettySecrets Eskimo Women's Shapewear,"PrettySecrets presents to you a shapewear that can be worn all day long. With its unmatched light weight and breathable fabric properties this shape wear gives you that perfect figure to reveal and go with any of your bodycons!•One piece bodice to shape the abdomen and upper body•Lightweight, ideal for wearing all day long•Breathable and stretchable fabric•Broad straps on the shoulders that do not dig into the skin•Deep Scoop back•Scalloped lace trim at the hem•Nylon SpandexModel Bust-34C and Waist-25 inches, is wearing size S",1399,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KFBXHMQHMX,PrettySecrets Eskimo Women's Shapewear,"PrettySecrets presents to you a shapewear that can be worn all day long. With its unmatched light weight and breathable fabric properties this shape wear gives you that perfect figure to reveal and go with any of your bodycons!•One piece bodice to shape the abdomen and upper body•Lightweight, ideal for wearing all day long•Breathable and stretchable fabric•Broad straps on the shoulders that do not dig into the skin•Deep Scoop back•Scalloped lace trim at the hem•Nylon SpandexModel Bust-34C and Waist-25 inches, is wearing size S",1399,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KFW3NRZ28Y,PrettySecrets Eskimo Women's Shapewear,"This comfortable, stretchable hip & thigh shaper from PrettySecrets features a high waist cut and mid thigh length along with a fuchsia lace detailing at the hem. It flattens and sculpts waist, thigh and hips and makes you look slimmer in seconds.•High waist•Pretty Floral Lace on the crotch and leg hem•Mid thigh length•Slims waist, thigh, hips•Stretchable fabric•All day comfort•Imported nylon/spandexModel Bust-34C and Waist-25 inches, is wearing size S",1199,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWEYB46FUGHUGF4,PrettySecrets Women's Shapewear,"Lacy, Sexy, Slimming. This high-waisted tummy control hipster from PRETTYSECRETS provides sleek shaping to your hips and gives it a more definite and slimming shape. It is surely a super models secret. , High waisted , Sheer mesh on front and back , Scalloped lace detailing on legs , Slims waist and hip , Imported nylon/spandex",899,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE3YQUCZZGS3GZ,PrettySecrets Fashion Women's Shapewear,"This comfortable stretchable shape wears from PRETTYSECRETS features a high waist cut and mid thigh length. It flattens and sculpts waist, thigh, hips and makes you look slimmer in seconds.? High waisted ? Mid thigh length ? Slims waist, thigh, hips ? Stretchable fabric ? All day comfort ? Imported nylon/spandex",1099,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KFRAFC57HW,PrettySecrets Eskimo Women's Shapewear,"This elegant and feminine black shape wear from PrettySecrets sculpts your tummy and offers flattering coverage. With front open hook and eye closure and broad adjustable straps, this shape wear gives you all day ease and comfort.•3 Rows of hook and eye closure in the front•Internal boning for support•Broad adjustable straps•Contrast silver lace applique in the front•Nylon SpandexModel Bust-34C and Waist-25 inches, is wearing size S",1399,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE2EMYYZXGPGHR,PrettySecrets Women's Shapewear,"Shape up and look fabulous instantly with this black slimming shaping up brief from PrettySecrets. High waisted for ultimate tummy control. It will smoothen, flatten and sculpts problem areas. ? High waisted ?Internal boning for support ?Pretty Floral Mesh on the front and back ?Slims hips and waist ? Comfortable and stretchable ? Imported Nylon spandex",899,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWEYB46HMVQZVGN,PrettySecrets Women's Shapewear,"""This comfortable, black stretchable shape wear from PrettySecrets features a high waist cut and mid thigh length. It flattens and sculpts waist, thigh, hips and makes you look slimmer in seconds.High waisted, Pretty Floral Mesh on the front and back, Scalloped lace on the legs, Front Zipper, Mid thigh length, Slims waist, thigh, hips, Stretchable fabric, All day comfort, Imported nylon/spandex""",1399,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE3YQTHURPGZXX,PrettySecrets Fashion Women's Shapewear,"Shape up and look fabulous instantly with this slimming shaping up brief from PRETTYSECRETS. High waisted for ultimate tummy control. It will smoothen, flatten and sculpts problem areas.? High waisted ? Slims hips and waist ? Comfortable and stretchable ? Imported Nylon spandex",699,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWEYB45FTHTHMJQ,PrettySecrets Women's Shapewear,"""This comfortable, nude stretchable shape wear from PrettySecrets features a high waist cut and mid thigh length. It flattens and sculpts waist, thigh, hips and makes you look slimmer in seconds. High waisted, Pretty Floral Mesh on the front and back, Mid thigh length, Slims waist, thigh, hips, Stretchable fabric, All day comfort, Imported nylon/spandex""",1399,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE73KF2BAHKNWH,PrettySecrets Eskimo Women's Shapewear,"Shape up and look fabulous instantly with this black, slimming shaping up brief from PrettySecrets. High waisted for ultimate tummy control. It will smoothen, flatten and sculpt problem areas.•High waist•Sheer stretchable lace on the front and back•Slims hips and waist•Comfortable and stretchable•Nylon spandexModel Bust-34C and Waist-25 inches, is wearing size S",799,Apparels>Women>Maternity Wear>Lingerie & Sleepwear>Shapewears,Sania Dewan
SPWE47VAEZVNJV6K,PrettySecrets Beige Zebra High Waist Shaping Women's Shapewear,The shaping power of this light weight brief is absolutely addictive. Sleek compression fabric used in this shaper secretly tones and flattens the tummy always.,649,Apparels>Women>Lingerie & Sleepwear>Shapewears,Sania Dewan
